# time	energy_lowpass
24.960000	-32.882958
24.970000	-32.864346
24.980000	-32.872094
24.990000	-32.893717
25.000000	-32.919744
25.010000	-32.954173
25.020000	-32.992641
25.030000	-33.033746
25.040000	-33.093566
25.050000	-33.171916
25.060000	-33.259815
25.070000	-33.360685
25.080000	-33.465734
25.090000	-33.573480
25.100000	-33.690633
25.110000	-33.814728
25.120000	-33.948415
25.130000	-34.092376
25.140000	-34.243226
25.150000	-34.401637
25.160000	-34.590645
25.170000	-34.812087
25.180000	-35.055612
25.190000	-35.327700
25.200000	-35.614455
25.210000	-35.915323
25.220000	-36.243074
25.230000	-36.595105
25.240000	-36.957014
25.250000	-37.329393
25.260000	-37.717692
25.270000	-38.118648
25.280000	-38.544460
25.290000	-38.996079
25.300000	-39.464958
25.310000	-39.954035
25.320000	-40.394124
25.330000	-40.777425
25.340000	-41.138601
25.350000	-41.457483
25.360000	-41.771959
25.370000	-42.083798
25.380000	-42.355705
25.390000	-42.594559
25.400000	-42.853406
25.410000	-43.131241
25.420000	-43.406207
25.430000	-43.690689
25.440000	-43.942510
25.450000	-44.158209
25.460000	-44.368365
25.470000	-44.562882
25.480000	-44.785092
25.490000	-45.042124
25.500000	-45.305857
25.510000	-45.589164
25.520000	-45.873473
25.530000	-46.156648
25.540000	-46.459428
25.550000	-46.778107
25.560000	-47.069060
25.570000	-47.331407
25.580000	-47.583825
25.590000	-47.815320
25.600000	-48.056742
25.610000	-48.310201
25.620000	-48.551194
25.630000	-48.786557
25.640000	-49.000957
25.650000	-49.189931
25.660000	-49.365394
25.670000	-49.522039
25.680000	-49.662609
25.690000	-49.787500
25.700000	-49.890215
25.710000	-49.970837
25.720000	-50.049240
25.730000	-50.125710
25.740000	-50.190216
25.750000	-50.247471
25.760000	-50.283554
25.770000	-50.296917
25.780000	-50.298087
25.790000	-50.283574
25.800000	-50.255795
25.810000	-50.215894
25.820000	-50.159948
25.830000	-50.088725
25.840000	-50.002745
25.850000	-49.901451
25.860000	-49.785135
25.870000	-49.653692
25.880000	-49.500304
25.890000	-49.324265
25.900000	-49.128578
25.910000	-48.911230
25.920000	-48.675839
25.930000	-48.422439
25.940000	-48.147336
25.950000	-47.851091
25.960000	-47.619500
25.970000	-47.460679
25.980000	-47.334656
25.990000	-47.266058
26.000000	-47.204480
26.010000	-47.147929
26.020000	-47.143948
26.030000	-47.183277
26.040000	-47.205243
26.050000	-47.211576
26.060000	-47.226379
26.070000	-47.235660
26.080000	-47.289138
26.090000	-47.390798
26.100000	-47.505155
26.110000	-47.644144
26.120000	-47.748137
